Dates,t-4_t-3,t-3_t-2,t-2_t-1,t-1_t,2007 % change,3883 % change,1109 % change,1113 % change,16 % change,914 % change,388 % change,Volume,Volume_Indicator,Ticks,3333_TicksAvg,BB_LOWER,BB_SIGNAL,BB_WIDTH,BB_PERCENT,MOMENTUM,MOM_MA,MACD,MACD_SIGNAL,MACD_DIFF,RSI,DMI_PLUS,DMI_MINUS,ADX,ADXR,ADX_SIGNAL,FEAR_GREED,VMAVG,Y
5/11/2019 9:30,0,-1,0,0,-0.006944444,0.005464481,-0.002894356,-0.005390836,0.004187605,-0.00101833,0,482000,1,56,8607.142857,20.05023704,0,1.693869947,0.583205384,-0.05,-0.124,-0.009376259,0.010623233,-0.019999492,53.60190656,26.13367635,26.19083055,40.13437681,37.27874618,1,-0.1338,20.21354708,0
5/11/2019 9:31,-1,0,0,-1,0,-0.001811594,0.002902758,0,-0.001668057,0.001019368,-0.0008,116000,0,16,7250,20.05023704,0,1.693869947,0.437231026,-0.05,-0.144,-0.00805958,0.00688667,-0.01494625,49.92080053,23.76662559,23.81860305,37.27543777,36.28109253,1,-0.088594872,20.21278723,0
5/11/2019 9:32,0,0,-1,0,0,-0.003629764,0.002894356,0,0.006683375,-0.00101833,-0.001601281,105000,0,50,2100,20.05023704,0,1.693869947,0.437231026,-0.05,-0.144,-0.006936146,0.004122107,-0.011058253,49.92080053,21.65441062,26.14542636,35.28401096,35.686351,1,-0.069707692,20.21210814,0
5/11/2019 9:33,0,-1,0,-1,0,0,-0.002886003,-0.001806685,-0.004149378,-0.001019368,0,178000,1,32,5562.5,20.02719529,0,1.848270613,0.061038907,-0.2,-0.134,-0.017942731,-0.00029086,-0.01765187,40.29315691,18.17530928,29.97801644,34.51448726,35.67392017,1,-0.170589744,20.19489019,0
5/11/2019 9:34,-1,0,-1,0,0,0.001821494,0,0,-0.000833333,0.001020408,0,160000,1,17,9411.764706,20.0064725,0,1.979833203,0.108803786,-0.25,-0.12,-0.026361648,-0.005505018,-0.02085663,40.29315691,17.42171713,28.7350556,33.79992954,35.66237727,1,-0.217112821,20.1832777,0
5/11/2019 9:35,0,-1,0,0,0,0,0,0,0,-0.006116208,0,191000,1,20,9550,19.98763302,0,2.092845977,0.147532457,-0.25,-0.16,-0.032657248,-0.010935464,-0.021721784,40.29315691,17.42171713,28.7350556,33.13641165,35.65165885,1,-0.228635897,20.17259592,0
5/11/2019 9:36,-1,0,0,0,0.001748252,0,0,0.000904977,0,0.005128205,0.002405774,42000,0,12,3500,19.97038691,0,2.190160149,0.180027994,-0.2,-0.19,-0.037217535,-0.016191878,-0.021025657,40.29315691,16.62240259,32.00471646,33.0290394,35.89608179,1,-0.207774359,20.16277025,0
5/11/2019 9:37,0,0,0,0,-0.001745201,0.005454545,0.001447178,0,0,0.001020408,-0.0008,41000,0,11,3727.272727,19.95558111,0,2.214370277,0.211304625,-0.2,-0.22,-0.040366279,-0.021026758,-0.01933952,40.29315691,15.83976591,30.49783049,32.92933659,36.12304594,1,-0.187835897,20.15244091,1
5/11/2019 9:38,0,0,0,1,0,0.001808318,0,-0.001808318,0.001668057,0.001019368,-0.000800641,224000,1,37,6054.054054,19.94804754,0,2.215526419,0.340010709,0.1,-0.16,-0.038384624,-0.024498331,-0.013886293,45.37939979,18.9849993,27.68980539,31.90937709,35.87010921,1,-0.122666667,20.1478134,0
5/11/2019 9:39,0,0,1,-1,0,0,0,-0.000905797,-0.002497918,0,0,92000,0,11,8363.636364,19.93773997,0,2.195148847,0.253683481,0.07,-0.096,-0.040383219,-0.027675309,-0.01270791,41.56613219,18.08822593,26.38185275,30.96227185,35.63523939,1,-0.100574359,20.13794907,0
