Dates,Price
2019/11/6 09:30,20.25
2019/11/6 09:31,20.2
2019/11/6 09:32,20.15
2019/11/6 09:33,20.15
2019/11/6 09:34,20.2
2019/11/6 09:35,20.2
2019/11/6 09:36,20.2
2019/11/6 09:37,20.2
2019/11/6 09:38,20.2
2019/11/6 09:39,20.15
2019/11/6 09:40,20.15
2019/11/6 09:41,20.1
2019/11/6 09:42,20.1
2019/11/6 09:43,20.15
2019/11/6 09:44,20.2
2019/11/6 09:45,20.3
2019/11/6 09:46,20.3
2019/11/6 09:47,20.3
2019/11/6 09:48,20.3
2019/11/6 09:49,20.3
2019/11/6 09:50,20.3
2019/11/6 09:51,20.3
2019/11/6 09:52,20.3
2019/11/6 09:53,20.3
2019/11/6 09:54,20.3
2019/11/6 09:55,20.25
2019/11/6 09:56,20.25
2019/11/6 09:57,20.25
2019/11/6 09:58,20.25
2019/11/6 09:59,20.25
2019/11/6 10:00,20.2
2019/11/6 10:01,20.25
2019/11/6 10:02,20.25
2019/11/6 10:03,20.25
2019/11/6 10:04,20.25
2019/11/6 10:05,20.25
2019/11/6 10:06,20.25
2019/11/6 10:07,20.25
2019/11/6 10:08,20.3
2019/11/6 10:09,20.25
2019/11/6 10:10,20.25
2019/11/6 10:11,20.25
2019/11/6 10:12,20.25
2019/11/6 10:13,20.2
2019/11/6 10:14,20.2
2019/11/6 10:15,20.25
2019/11/6 10:16,20.25
2019/11/6 10:17,20.3
2019/11/6 10:18,20.3
2019/11/6 10:19,20.3
2019/11/6 10:20,20.3
2019/11/6 10:21,20.15
2019/11/6 10:22,20.15
2019/11/6 10:23,20.15
2019/11/6 10:24,20.15
2019/11/6 10:25,20.15
2019/11/6 10:26,20.2
2019/11/6 10:27,20.2
2019/11/6 10:28,20.2
2019/11/6 10:29,20.15
2019/11/6 10:30,20.15
2019/11/6 10:31,20.15
2019/11/6 10:32,20.1
2019/11/6 10:33,20.15
2019/11/6 10:34,20.15
2019/11/6 10:35,20.15
2019/11/6 10:36,20.15
2019/11/6 10:37,20.1
2019/11/6 10:38,20.1
2019/11/6 10:39,20.15
2019/11/6 10:40,20.15
2019/11/6 10:41,20.15
2019/11/6 10:42,20.15
2019/11/6 10:43,20.2
2019/11/6 10:44,20.15
2019/11/6 10:45,20.2
2019/11/6 10:46,20.2
2019/11/6 10:47,20.2
2019/11/6 10:48,20.15
2019/11/6 10:49,20.15
2019/11/6 10:50,20.1
